target,angle_cm_deg,ratio_to_rutherford
Ca40,14.916,0.5496
Ca40,15.846,0.48195
Ca40,15.855,0.40447
Ca40,16.786,0.347
Ca40,17.716,0.31103
Ca40,20.024,0.30437
Ca40,21.858,0.38739
Ca40,21.865,0.33967
Ca40,23.233,0.44188
Ca40,25.534,0.45178
Ca40,26.919,0.41394
Ca40,27.383,0.37101
Ca40,27.85,0.31828
Ca40,28.778,0.26714
Ca40,29.243,0.23424
Ca40,29.709,0.2054
Ca40,30.177,0.16865
Ca40,31.102,0.14469
Ca40,31.105,0.13549
Ca40,32.48,0.13551
Ca40,33.387,0.16148
Ca40,33.836,0.19242
Ca40,34.286,0.22433
Ca40,35.195,0.25032
Ca40,36.563,0.26158
Ca40,38.844,0.26164
Ca40,40.216,0.23453
Ca40,40.679,0.19684
Ca40,40.688,0.16519
Ca40,41.149,0.14485
Ca40,41.613,0.11894
Ca40,42.075,0.10203
Ca40,42.536,0.08947
Ca40,42.999,0.07509
Ca40,43.036,0.034879
Ca40,43.043,0.02992
Ca40,43.056,0.023003
Ca40,43.06,0.021073
Ca40,43.459,0.065844
Ca40,43.465,0.057734
Ca40,43.474,0.048452
Ca40,43.481,0.041563
Ca40,43.503,0.026817
Ca40,43.52,0.018888
Ca40,43.524,0.017303
Ca40,43.984,0.015173
Ca40,44.893,0.014209
Ca40,46.242,0.017309
Ca40,46.248,0.015513
Ca40,46.675,0.026246
Ca40,46.684,0.022026
Ca40,46.689,0.019741
Ca40,47.111,0.036459
Ca40,47.12,0.030597
Ca40,47.54,0.05904
Ca40,47.547,0.050646
Ca40,47.555,0.042504
Ca40,47.975,0.08383
Ca40,47.982,0.071911
Ca40,48.403,0.13281
Ca40,48.411,0.11393
Ca40,48.418,0.097729
Ca40,49.285,0.20586
Ca40,49.291,0.1805
Ca40,49.299,0.15484
Ca40,50.632,0.22972
Ca40,52.43,0.24006
Ca40,54.228,0.22982
Ca40,55.128,0.21522
Ca40,56.03,0.18873
Ca40,56.034,0.1729
Ca40,56.937,0.14833
Ca40,56.944,0.12724
Ca40,57.397,0.11157
Ca40,57.406,0.093636
Ca40,57.859,0.080327
Ca40,58.312,0.070437
Ca40,58.318,0.061761
Ca40,58.327,0.051832
Ca40,58.333,0.045447
Ca40,58.788,0.038143
Ca40,59.24,0.034187
Ca40,59.247,0.029326
Ca40,59.255,0.024612
Ca40,59.262,0.021113
Ca40,59.716,0.018112
Ca40,60.169,0.015201
Ca40,60.176,0.013328
Ca40,60.181,0.011946
Ca40,60.631,0.010707
Ca40,60.637,0.0093879
Ca40,60.645,0.0080531
Ca40,61.096,0.0070616
Ca40,61.547,0.0060579
Ca40,61.555,0.0051966
Ca40,61.562,0.0044578
Ca40,62.897,0.0042673
Ca40,63.75,0.0086033
Ca40,63.757,0.0075436
Ca40,63.764,0.0064711
Ca40,63.771,0.005551
Ca40,63.779,0.0047618
Ca40,64.144,0.024626
Ca40,64.153,0.019781
Ca40,64.162,0.016601
Ca40,64.17,0.013932
Ca40,64.176,0.012216
Ca40,64.186,0.01003
Ca40,64.561,0.041664
Ca40,64.57,0.034966
Ca40,64.577,0.029995
Ca40,64.995,0.049648
